id,Area(total),Troom,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Grade,EXPECTED
3416,305,5,3,3,4,YES,115,103,2,80,2,D,3503$
3417,314,5,5,5,6,yes,115,102,7,65,6,C,3888$
3418,348,9,6,7,8,NO,0,94,7,95,5,A,4716$
3419,344,5,6,5,6,YES,82,78,4,99,2,C,4367$
3420,338,9,4,3,4,no,0,77,3,85,5,C,3629$
3421,292,6,6,5,7,no,0,89,5,92,1,D,3744$
3422,337,9,5,5,6,no,0,95,6,80,6,B,4529$
3423,318,5,7,6,8,YES,82,110,8,88,5,B,4864$
3424,309,6,3,3,4,NA,,110,1,61,4,D,3662$
3425,358,9,7,6,8,NA,,100,5,72,4,A,5250$
3426,357,7,2,3,4,NA,,86,3,92,1,C,4355$
3427,342,7,6,5,7,YES,115,79,4,91,1,C,4343$
3428,311,9,6,4,6,NO,0,83,6,94,4,B,3987$
3429,331,5,5,6,7,NA,,91,7,99,2,C,4638$
3430,357,9,6,6,7,yes,108,73,7,64,5,A,4809$
3431,336,6,6,6,8,no,0,94,8,92,6,B,4191$
3432,299,7,7,6,8,NO,0,91,6,98,5,C,4301$
3433,305,5,4,2,4,no,0,74,3,75,2,D,3091$
3434,328,7,7,5,7,NA,,100,7,85,3,B,4810$
3435,334,5,2,2,3,YES,78,107,1,83,2,D,3239$
3436,359,8,3,2,4,NA,,80,3,71,5,C,3831$
3437,320,5,4,2,4,no,0,78,2,85,4,D,3330$
3438,344,7,4,2,4,no,0,106,2,94,5,D,3435$
3439,352,8,3,3,4,NA,,90,4,79,1,C,4121$
3440,316,6,6,4,6,yes,73,97,6,97,3,C,3625$
3441,325,7,6,5,7,NO,0,91,7,72,2,C,4111$
3442,355,5,6,4,6,YES,89,86,5,95,3,C,3998$
3443,311,7,5,5,6,no,0,104,4,73,1,D,3441$
3444,352,9,3,2,4,NA,,98,3,73,4,C,4039$
3445,290,8,5,4,5,no,0,104,4,79,1,D,3806$
3446,350,5,4,2,4,NA,,90,2,95,1,D,3434$
3447,333,8,2,3,4,NA,,99,2,95,1,C,3978$
3448,357,9,7,6,7,YES,88,71,8,64,5,A,5594$
3449,353,9,4,2,4,NA,,72,3,96,5,B,4390$
3450,328,8,7,7,8,YES,103,103,5,92,5,A,5189$
3451,326,7,4,4,5,NO,0,92,3,71,6,D,3664$
3452,329,6,2,1,3,NO,0,90,3,62,5,D,3568$
3453,356,7,5,3,4,YES,81,85,3,64,1,C,3793$
3454,330,5,7,7,8,YES,106,100,8,93,3,A,4707$
3455,320,6,8,5,7,no,0,96,7,84,1,B,4395$
3456,323,8,3,3,4,no,0,106,2,92,6,C,4135$
3457,297,9,4,3,4,NA,,80,4,92,6,C,3813$
3458,354,7,7,6,7,yes,109,97,8,79,5,A,5105$
3459,334,6,4,2,4,YES,85,70,3,94,1,D,3371$
3460,329,8,3,3,4,NA,,93,2,77,3,C,3913$
3461,318,5,3,2,3,no,0,100,3,59,3,D,3110$
3462,360,6,5,5,7,NA,,76,4,64,6,C,3577$
3463,314,7,6,5,6,YES,80,107,6,83,5,C,4516$
3464,321,9,8,6,7,yes,94,92,5,75,2,A,4975$
3465,327,9,5,4,5,NA,,90,4,81,1,B,3914$
3466,355,5,4,3,4,no,0,79,4,65,4,D,3726$
3467,305,7,4,3,5,NA,,110,5,59,1,D,3381$
3468,336,5,2,2,3,no,0,75,4,92,5,D,3363$
3469,353,5,3,3,5,NO,0,80,4,89,5,D,3858$
3470,352,9,6,4,6,yes,79,78,4,66,3,B,4256$
3471,354,8,7,6,7,NA,,88,5,84,5,B,5091$
3472,341,6,6,6,7,YES,109,106,7,68,6,B,4281$
3473,341,9,8,6,8,yes,92,83,5,86,2,A,4950$
3474,346,8,2,1,3,no,0,102,4,98,5,C,4137$
3475,322,7,6,5,6,no,0,93,6,95,2,C,4160$
3476,328,9,3,3,5,NO,0,101,4,70,3,C,3852$
3477,318,6,6,5,6,NA,,82,3,96,5,C,3826$
3478,322,5,8,7,8,YES,94,77,7,90,3,B,4735$
3479,294,8,6,6,8,NO,0,93,7,94,2,B,4279$
3480,353,8,4,2,4,yes,110,92,5,79,3,C,4002$
3481,309,9,3,2,3,YES,99,105,1,91,4,C,4093$
3482,358,7,6,4,6,yes,78,106,3,64,5,C,3764$
3483,334,9,5,5,7,YES,85,110,4,72,4,B,4524$
3484,342,5,8,5,7,NA,,107,7,70,5,B,4622$
3485,336,8,4,3,4,yes,97,94,5,77,2,C,3809$
3486,344,6,6,5,7,yes,100,73,6,73,1,C,4298$
3487,317,5,7,6,8,yes,72,95,8,80,5,B,4846$
3488,304,5,2,2,3,yes,99,109,3,89,5,D,3616$
3489,335,8,5,5,6,yes,97,78,3,98,5,C,3849$
3490,348,6,8,5,7,NA,,95,6,95,4,B,4388$
3491,324,6,5,2,4,YES,81,74,2,72,2,D,3723$
3492,329,7,6,6,7,NO,0,76,6,85,4,C,4369$
3493,317,7,6,4,6,NA,,94,5,82,6,C,4447$
3494,314,9,5,4,6,NA,,101,6,81,1,B,4178$
3495,347,5,6,4,6,yes,99,106,4,83,2,C,4356$
3496,306,5,2,1,3,NO,0,82,1,82,3,E,3071$
3497,306,7,6,5,6,yes,118,106,6,86,4,C,4200$
3498,353,7,6,3,5,no,0,94,3,68,5,C,3616$
3499,349,6,6,5,7,NO,0,98,5,80,2,C,4329$
3500,331,5,5,4,5,NA,,90,4,86,3,C,3872$
3501,340,8,2,3,4,NA,,85,2,96,4,C,4187$
3502,296,5,7,5,6,NA,,81,6,70,3,C,3668$
3503,338,9,5,5,6,NO,0,80,6,77,6,B,3984$
3504,354,7,6,5,6,YES,95,98,6,82,2,B,4625$
3505,327,6,6,4,6,no,0,104,7,75,3,C,4324$
3506,311,5,8,5,7,NA,,80,7,86,3,B,4314$
3507,319,8,4,5,6,NA,,80,6,75,5,C,4156$
3508,329,9,3,2,4,NO,0,103,4,96,4,C,4162$
3509,340,5,4,3,4,NO,0,74,4,99,5,D,3463$
3510,317,9,5,4,6,no,0,76,4,80,1,C,3792$
3511,304,7,8,6,8,NO,0,84,7,94,2,B,4680$
3512,310,5,5,4,5,no,0,79,5,76,5,D,3629$
3513,293,9,8,6,8,NO,0,98,8,68,6,A,4734$
3514,319,5,5,4,5,NO,0,72,4,72,6,D,3671$
3515,350,6,3,2,4,yes,100,104,2,59,2,D,3385$
3516,330,9,5,3,5,YES,118,70,4,59,2,C,3874$
3517,307,5,8,6,8,NO,0,80,6,71,3,C,4497$
3518,359,6,5,5,6,NA,,92,6,63,2,C,4000$
3519,348,6,7,7,8,no,0,101,6,72,5,B,4134$
3520,305,5,3,2,3,no,0,94,1,95,1,D,3545$
3521,309,9,8,6,8,YES,84,97,7,96,3,A,4898$
3522,339,7,2,2,4,YES,111,83,4,99,4,C,4125$
3523,314,7,4,5,6,YES,72,78,4,65,6,D,3655$
3524,304,5,6,4,6,no,0,109,4,65,4,D,3081$
3525,360,9,6,5,7,NO,0,104,6,72,5,B,4397$
3526,308,8,6,6,7,NA,,102,6,76,6,B,4166$
3527,352,5,6,5,7,yes,89,86,5,64,5,C,4355$
3528,353,6,3,3,5,yes,111,109,3,64,6,C,3836$
3529,360,6,3,2,3,no,0,104,1,72,2,D,3800$
3530,318,6,6,5,7,no,0,110,5,99,4,C,4316$
3531,346,6,8,5,7,NO,0,90,8,62,5,B,4328$
3532,357,7,6,6,7,no,0,97,5,87,2,C,4637$
3533,306,6,4,2,4,YES,102,88,3,63,5,D,3871$
3534,341,9,7,5,7,YES,74,84,7,85,2,A,4962$
3535,293,5,4,3,4,yes,95,97,3,99,5,D,3896$
3536,359,9,4,4,5,YES,108,91,3,80,1,B,3991$
3537,302,9,4,2,4,NA,,94,4,70,5,C,4271$
3538,346,8,2,3,4,NO,0,102,3,96,1,C,4248$
3539,353,7,6,6,7,NO,0,74,4,95,4,C,4102$
3540,350,5,8,6,7,NA,,102,5,97,5,B,4757$
3541,310,9,6,4,6,NO,0,109,7,97,6,B,4957$
3542,299,8,5,4,5,yes,81,85,2,80,3,C,3630$
3543,328,7,3,2,3,YES,84,87,3,71,1,D,4024$
3544,320,7,6,4,6,no,0,71,4,98,4,C,4182$
3545,312,9,5,5,6,YES,81,73,5,60,2,C,4341$
3546,344,6,2,3,4,no,0,102,1,97,6,D,3319$
3547,321,5,6,7,8,NA,,79,7,86,1,B,4280$
3548,329,8,3,3,5,yes,84,92,2,59,4,C,4237$
3549,330,6,5,4,5,yes,72,85,5,85,1,C,3991$
3550,307,9,8,5,7,yes,98,103,6,66,3,A,5073$
3551,356,5,5,5,6,yes,110,99,5,88,3,C,3938$
3552,349,8,7,5,7,NA,,100,7,73,1,B,4987$
3553,347,5,4,4,5,NA,,100,3,99,2,C,4094$
3554,354,7,5,3,4,yes,95,104,5,71,5,C,3742$
3555,318,6,6,5,7,YES,76,80,4,83,5,C,3646$
3556,360,6,4,2,3,NO,0,73,4,72,1,D,3212$
3557,340,6,6,5,6,no,0,75,7,81,5,C,4195$
3558,316,9,3,1,3,YES,94,90,1,75,2,C,4317$
3559,345,9,5,2,4,no,0,76,3,88,5,C,4124$
3560,306,8,5,2,4,yes,113,102,2,88,3,C,4136$
3561,291,5,3,1,3,NO,0,79,2,63,4,E,3328$
3562,334,5,4,4,5,NO,0,89,3,61,4,D,3186$
3563,318,7,2,2,4,no,0,80,3,80,2,D,3444$
3564,306,7,3,3,4,no,0,80,4,94,4,D,3531$
3565,320,5,7,5,6,NA,,73,7,73,4,C,4352$
3566,293,7,6,3,5,NO,0,103,6,98,3,C,3992$
3567,304,5,4,4,6,NO,0,94,5,82,1,D,3113$
3568,339,7,6,4,6,YES,116,110,7,84,1,B,4418$
3569,358,7,5,3,4,YES,86,74,2,85,1,C,4195$
3570,340,7,2,2,3,yes,104,81,3,67,5,D,4043$
3571,290,6,6,7,8,yes,107,105,6,80,4,C,4373$
3572,302,8,8,7,8,YES,95,86,8,94,6,A,5151$
3573,302,8,5,4,5,yes,82,97,3,91,5,C,4015$
3574,344,9,2,3,4,NO,0,90,4,60,5,C,4316$
3575,333,6,3,1,3,NA,,74,2,80,2,D,3435$
3576,357,9,7,6,7,YES,80,73,4,80,2,A,4504$
3577,359,8,3,3,5,no,0,99,4,76,6,C,4127$
3578,294,9,5,3,5,NO,0,102,5,85,2,C,3688$
3579,335,7,6,5,6,NO,0,107,7,84,3,C,4186$
3580,359,5,5,5,6,YES,107,84,7,66,5,C,3822$
3581,332,8,3,2,4,yes,79,88,1,69,2,C,3531$
3582,307,6,4,2,4,YES,98,92,2,70,1,D,3647$
3583,355,8,4,4,6,yes,93,93,3,75,5,C,4274$
3584,313,9,4,3,4,NO,0,77,2,90,1,C,4221$
3585,311,8,3,3,4,NA,,91,3,86,6,C,3532$
3586,323,9,6,5,6,NO,0,79,4,71,6,C,4369$
3587,325,7,3,4,5,no,0,103,4,88,6,D,3390$
3588,351,9,4,4,6,NO,0,80,4,97,1,C,4290$
3589,320,7,4,2,3,no,0,93,3,94,1,D,3900$
3590,351,6,4,4,5,YES,97,70,6,60,3,C,3917$
3591,344,5,4,4,5,no,0,72,5,69,4,D,3249$
3592,348,8,5,2,4,no,0,82,5,97,2,C,3994$
3593,351,8,3,3,4,no,0,74,2,67,1,D,4070$
3594,360,7,4,3,4,NA,,110,1,98,6,C,3974$
3595,332,8,3,2,4,NA,,88,2,94,2,C,3860$
3596,326,6,5,5,7,YES,77,76,4,90,6,C,3696$
3597,352,9,5,6,7,yes,74,74,5,78,6,B,4448$
3598,343,8,4,4,5,NO,0,86,5,74,1,C,4329$
3599,325,7,8,7,8,no,0,93,5,78,5,B,4592$
3600,322,5,3,2,4,no,0,73,4,63,1,D,3550$
3601,309,6,5,5,7,no,0,103,6,59,4,D,3380$
3602,306,8,6,6,8,no,0,79,7,94,6,B,4519$
3603,298,7,5,4,6,NA,,70,6,69,3,C,4029$
3604,336,7,6,4,6,yes,97,78,7,66,5,B,4578$
3605,336,5,4,3,4,yes,85,91,2,90,3,D,3205$
3606,300,6,4,4,6,NA,,102,5,78,1,D,3438$
3607,330,5,2,3,4,no,0,83,4,92,2,D,3041$
3608,290,8,7,4,6,no,0,108,4,69,5,C,3742$
3609,336,9,8,6,7,no,0,96,7,83,2,A,4906$
3610,306,7,6,5,7,YES,77,106,5,62,2,C,4229$
3611,308,6,7,6,7,NO,0,105,5,81,5,C,4187$
3612,351,9,4,4,5,no,0,91,3,64,4,C,4486$
3613,351,7,2,3,4,YES,72,73,2,82,1,D,3943$
3614,306,6,6,6,7,no,0,95,8,97,4,B,4270$
3615,337,5,6,6,7,yes,87,103,7,73,4,B,4015$
3616,320,5,3,2,4,NO,0,86,1,70,2,D,3141$
3617,295,8,3,1,3,YES,99,71,3,79,2,D,3892$
3618,333,9,7,5,6,YES,101,72,7,91,6,A,5114$
3619,314,5,6,5,6,NO,0,95,6,64,6,D,3322$
3620,311,7,2,3,4,YES,109,87,2,88,1,D,3335$
3621,321,5,7,5,7,NA,,75,7,96,1,C,4600$
3622,343,8,2,1,3,no,0,77,3,85,4,D,3615$
3623,347,6,4,2,4,no,0,106,4,76,1,D,3887$
3624,344,5,3,2,4,NO,0,83,5,61,2,D,3276$
3625,344,9,6,5,7,yes,88,86,5,82,2,B,4211$
3626,302,8,7,5,7,NA,,110,7,98,1,B,4447$
3627,293,6,5,6,7,YES,78,77,4,72,6,D,3381$
3628,346,7,3,2,3,YES,107,71,1,77,2,D,3645$
3629,343,8,6,4,6,NO,0,108,7,77,6,B,4172$
3630,310,8,8,6,7,NA,,89,7,76,6,A,4490$
3631,353,7,4,3,4,NO,0,75,3,85,3,D,3556$
3632,333,9,6,7,8,no,0,99,8,59,2,A,4691$
3633,300,9,3,3,4,NA,,89,2,98,3,C,4148$
3634,338,7,5,4,6,yes,76,77,4,66,4,C,3534$
3635,347,6,8,6,7,no,0,91,5,97,1,B,4505$
3636,298,9,2,1,3,NO,0,101,4,94,2,C,4218$
3637,310,8,3,1,3,NA,,93,3,59,3,D,3840$
3638,299,5,8,5,7,yes,113,105,6,87,4,B,4057$
3639,333,6,4,3,4,yes,120,108,4,81,6,C,3511$
3640,294,8,5,6,7,YES,74,97,6,82,6,C,4031$
3641,297,5,4,3,5,YES,111,80,3,70,5,D,3388$
3642,347,7,7,5,7,NO,0,110,6,97,2,B,4417$
3643,323,9,7,5,7,NO,0,101,8,82,3,A,4861$
3644,298,5,7,5,7,NO,0,71,4,92,1,D,3358$
3645,291,7,6,6,7,NA,,107,7,94,1,B,4232$
3646,302,7,5,3,5,no,0,79,4,69,4,D,3753$
3647,292,9,6,3,5,YES,117,72,5,86,1,C,4158$
3648,294,9,7,6,7,yes,92,86,6,99,3,B,5164$
3649,340,6,4,3,4,YES,111,77,1,79,1,D,3485$
3650,290,7,5,5,6,NO,0,97,6,91,6,C,3614$
3651,331,9,7,6,7,NO,0,80,4,80,4,B,4608$
3652,297,7,3,2,3,NO,0,74,3,89,5,D,3293$
3653,314,7,5,5,6,no,0,89,6,87,4,C,3570$
3654,319,9,6,4,5,YES,84,93,3,81,2,B,4352$
3655,328,6,4,4,5,NA,,99,5,76,5,C,3822$
3656,346,6,7,5,7,no,0,88,6,62,1,C,4332$
3657,306,8,6,4,6,no,0,101,5,76,6,C,3861$
3658,321,5,6,4,6,NO,0,79,4,90,4,D,3480$
3659,346,9,8,6,7,no,0,87,5,96,5,A,5015$
3660,360,6,6,5,7,yes,86,94,5,62,4,C,3789$
3661,348,6,4,2,4,NA,,84,5,67,3,C,3410$
3662,292,5,8,7,8,yes,102,107,5,67,1,B,4681$
3663,356,6,6,5,6,NA,,78,6,83,6,C,4573$
3664,330,8,2,1,3,no,0,77,3,66,2,D,3688$
3665,337,5,7,4,6,YES,75,74,5,96,3,C,3900$
3666,335,9,3,1,3,NA,,93,1,89,3,C,3788$
3667,296,5,4,5,6,no,0,104,5,90,1,D,3282$
3668,350,6,3,4,5,YES,107,91,5,65,2,C,4152$
3669,330,7,7,5,7,yes,112,97,5,68,5,B,4215$
3670,355,9,4,1,3,yes,82,84,2,87,6,C,4663$
3671,330,5,7,4,6,NA,,102,6,77,5,C,3834$
3672,355,6,6,4,6,NA,,96,5,78,5,C,4493$
3673,331,8,3,2,4,no,0,77,3,79,2,D,3708$
3674,327,6,6,5,7,no,0,95,8,87,1,C,4029$
3675,325,9,2,1,3,NO,0,74,1,90,2,C,4137$
3676,306,8,3,2,3,YES,105,85,1,93,4,C,3584$
3677,329,6,5,4,5,no,0,102,6,92,2,C,3695$
3678,290,5,6,4,6,NA,,87,3,90,1,D,3481$
3679,329,6,3,2,4,no,0,88,2,60,3,D,3214$
3680,306,9,5,2,4,YES,96,96,3,59,5,C,4279$
3681,315,7,4,1,3,YES,77,109,3,87,6,D,3542$
3682,304,9,4,5,6,NA,,109,4,94,3,B,4124$
3683,355,5,3,3,4,YES,76,92,1,63,4,D,3275$
3684,302,6,6,5,7,NA,,78,6,67,1,C,4347$
3685,348,7,5,3,4,NA,,78,5,96,3,C,4405$
3686,345,6,6,4,6,NO,0,91,5,59,4,C,3787$
3687,353,7,3,2,4,yes,118,98,4,69,6,C,3805$
3688,328,7,5,5,7,YES,109,101,4,74,3,C,3850$
3689,307,6,6,5,7,NO,0,71,6,93,4,C,4137$
3690,330,7,4,2,3,NO,0,92,4,90,6,D,3337$
3691,342,5,6,4,6,no,0,77,7,80,2,C,3795$
3692,304,5,5,3,5,no,0,71,5,63,3,D,2979$
3693,308,8,6,4,6,YES,87,75,4,94,1,C,4079$
3694,316,8,7,6,7,YES,100,80,5,88,5,B,4678$
3695,322,7,5,5,6,NA,,97,6,67,1,C,4264$
3696,309,7,6,6,8,yes,78,105,8,69,4,B,4200$
3697,320,6,4,4,6,yes,119,71,5,61,4,D,3336$
3698,331,8,6,5,6,no,0,92,5,83,3,C,3904$
3699,332,9,8,5,7,no,0,106,6,87,4,A,4478$
3700,314,5,4,2,4,NO,0,80,3,96,2,D,3316$
3701,297,8,6,3,5,NA,,103,6,78,2,C,3937$
3702,345,8,8,5,7,yes,110,99,8,72,4,A,5185$
3703,302,6,6,7,8,yes,82,105,8,82,1,B,4113$
3704,323,8,3,2,3,yes,84,109,4,76,1,C,4270$
3705,341,8,7,4,6,YES,89,92,6,86,2,B,4539$
3706,357,7,2,1,3,YES,118,108,1,90,3,C,3679$
3707,351,9,7,7,8,yes,99,80,8,77,3,A,5197$
3708,303,6,2,1,3,yes,100,108,3,68,3,D,3565$
3709,357,5,3,2,4,NA,,110,4,64,1,D,3875$
3710,335,6,3,2,4,NO,0,86,3,77,4,D,3410$
3711,309,9,6,4,6,no,0,77,3,70,6,C,4039$
3712,305,7,8,6,7,NO,0,102,8,90,6,B,4697$
3713,326,8,7,6,8,NO,0,104,8,69,4,B,5019$
3714,297,9,6,4,5,NO,0,99,4,62,2,C,4214$
3715,345,8,3,2,4,NA,,87,4,87,1,C,4223$
3716,345,8,7,5,7,NO,0,93,6,93,6,B,4696$
3717,324,7,4,2,3,no,0,89,1,59,3,D,3356$
3718,339,7,5,4,6,YES,80,84,4,87,3,C,3594$
3719,345,7,6,4,6,YES,119,105,3,78,6,C,3982$
3720,327,9,4,4,5,NA,,82,2,60,1,C,4269$
3721,315,6,3,3,4,NA,,83,4,59,5,D,3566$
3722,328,8,8,5,7,NO,0,75,5,64,4,B,4461$
3723,345,7,3,1,3,no,0,110,4,74,4,D,3297$
3724,295,6,5,4,5,yes,80,108,2,98,2,D,3486$
3725,339,9,3,3,4,NO,0,82,2,80,4,C,4288$
3726,345,5,3,2,4,NA,,71,2,89,6,D,3774$
3727,321,6,5,3,4,NO,0,76,3,72,3,D,3464$
3728,315,7,7,6,7,NO,0,100,5,72,1,C,3971$
3729,295,8,7,7,8,yes,93,101,6,93,5,B,4556$
3730,332,6,2,3,4,YES,104,70,2,78,4,D,3756$
3731,303,5,6,5,6,NA,,91,7,92,1,C,3777$
3732,340,8,6,6,7,yes,85,73,7,62,1,B,4726$
3733,347,9,2,1,3,no,0,80,4,84,2,C,4185$
3734,345,6,3,3,4,YES,108,110,3,74,2,D,3805$
3735,352,9,5,3,5,yes,110,76,5,97,3,B,4350$
3736,304,7,8,7,8,NA,,109,8,80,4,A,5346$
3737,334,6,4,3,5,yes,117,78,3,88,2,D,4123$
3738,349,5,8,6,7,YES,99,90,7,92,2,B,4784$
3739,322,7,2,1,3,no,0,98,4,98,1,D,3464$
3740,359,7,6,6,7,NA,,73,6,65,1,B,4482$
3741,334,8,3,2,4,yes,114,108,4,90,5,C,4508$
3742,349,5,8,6,8,NA,,101,8,76,2,A,4979$
3743,349,6,3,2,4,YES,112,102,3,72,5,D,3900$
3744,317,5,6,4,6,NA,,74,6,78,4,C,4021$
3745,357,5,4,4,6,yes,96,85,6,66,1,C,4109$
3746,360,9,3,2,4,no,0,83,2,69,3,C,4187$
3747,306,8,5,5,6,YES,82,93,6,92,6,C,3968$
3748,325,9,2,2,4,yes,106,102,3,71,3,C,3696$
3749,316,9,3,3,5,YES,87,110,3,66,1,C,4073$
3750,307,9,6,5,7,NO,0,108,6,70,3,B,4198$
3751,306,9,2,3,4,NO,0,110,1,66,1,D,3828$
3752,354,8,4,3,5,no,0,109,5,66,3,C,3770$
3753,333,6,5,4,6,yes,88,70,5,85,2,C,3461$
3754,300,5,2,2,4,yes,87,74,4,89,5,D,3745$
3755,300,8,5,3,5,yes,87,97,5,64,4,C,4047$
3756,311,9,3,2,4,NO,0,102,3,87,4,C,3892$
3757,292,8,3,3,4,no,0,82,2,99,1,D,3691$
3758,357,7,7,6,7,NA,,105,5,72,2,B,4197$
3759,342,8,2,2,4,YES,108,87,3,98,5,C,4319$
3760,324,5,4,3,5,no,0,79,4,86,2,D,3236$
3761,309,7,6,4,6,yes,108,97,7,63,3,C,4376$
3762,337,7,6,5,6,no,0,76,5,71,6,C,3709$
3763,305,8,6,3,5,NA,,72,3,70,2,C,4347$
3764,358,9,8,7,8,NA,,90,5,88,1,A,5301$
3765,347,6,5,3,5,NO,0,92,4,64,1,D,3312$
3766,309,9,5,3,5,NA,,100,4,75,6,C,4036$
3767,332,9,4,3,4,NA,,79,3,81,6,C,4230$
3768,343,8,3,2,4,NO,0,108,4,71,5,C,3626$
3769,358,7,6,5,6,yes,88,80,6,67,4,B,4363$
3770,360,7,8,6,8,yes,115,109,7,96,5,A,5421$
3771,317,9,5,3,5,YES,107,99,6,74,2,B,4459$
3772,343,9,7,4,6,YES,103,105,6,72,4,A,4934$
3773,357,9,2,2,4,YES,77,91,4,59,6,C,4209$
3774,336,8,4,4,6,no,0,108,3,98,6,C,4198$
3775,316,6,6,6,8,yes,80,100,7,69,5,B,4652$
3776,304,7,5,3,5,YES,99,72,4,83,5,D,3803$
3777,311,9,4,2,4,YES,82,77,1,59,1,C,4122$
3778,335,5,5,4,5,YES,118,72,2,63,4,D,3259$
3779,333,9,4,2,4,YES,102,71,2,90,3,C,4321$
3780,290,9,7,6,7,NA,,86,6,61,3,B,4256$
3781,352,8,3,2,4,NO,0,79,3,74,3,C,3741$
3782,358,6,3,2,4,NA,,107,2,84,5,C,4160$
3783,298,5,5,3,4,NA,,101,3,78,4,D,3807$
3784,357,5,6,5,7,no,0,103,5,98,1,C,4148$
3785,333,8,3,1,3,yes,71,88,3,97,2,C,3817$
3786,356,8,4,2,4,NO,0,88,4,93,4,C,3634$
3787,309,9,3,2,4,NO,0,95,3,75,2,C,3945$
3788,310,6,6,6,7,yes,90,77,6,85,4,C,4220$
3789,357,5,6,4,5,yes,89,98,6,77,1,C,4434$
3790,305,6,6,5,7,NO,0,101,7,99,5,C,4350$
3791,299,5,5,3,5,NO,0,90,5,63,5,D,3528$
3792,331,5,3,4,5,NA,,103,5,59,1,D,3361$
3793,290,8,6,4,5,YES,82,103,3,80,2,C,3821$
3794,296,5,3,3,4,YES,88,90,4,98,2,D,3113$
3795,329,5,8,6,7,no,0,86,6,89,5,B,4437$
3796,360,6,7,4,6,NO,0,103,4,88,1,C,4292$
3797,298,7,6,6,7,no,0,72,7,90,3,C,3922$
3798,304,6,3,3,4,no,0,95,3,90,6,D,2996$
3799,342,7,5,5,6,no,0,82,3,63,3,D,4108$
3800,312,5,7,6,7,no,0,89,8,89,6,B,4190$
3801,357,5,7,6,7,YES,87,100,4,93,1,B,4040$
3802,299,5,8,5,7,yes,110,101,5,68,2,C,3906$
3803,309,9,5,3,5,NO,0,84,5,85,4,C,3856$
3804,346,5,6,7,8,NO,0,95,8,68,6,B,4279$
3805,319,8,5,5,6,NA,,89,6,99,1,B,4531$
3806,335,7,8,6,8,no,0,70,7,89,2,B,4466$
3807,301,9,6,6,8,NO,0,76,6,60,4,B,4185$
3808,309,7,7,4,6,NO,0,94,5,61,2,C,4281$
3809,323,5,5,5,6,NA,,74,7,77,1,C,4309$
3810,332,5,2,3,4,yes,85,96,4,96,2,D,3323$
3811,315,6,3,2,4,NA,,76,5,61,6,D,3166$
3812,304,6,3,2,4,yes,118,71,2,63,1,D,3769$
3813,296,6,6,7,8,NA,,99,5,77,6,C,4104$
3814,300,6,6,5,7,no,0,84,4,73,6,D,3303$
3815,305,8,5,4,5,no,0,110,4,69,4,C,3486$
3816,342,7,6,5,6,no,0,80,6,92,3,C,4103$
3817,339,9,5,5,7,yes,113,71,7,67,2,B,4296$
3818,298,7,6,6,7,NO,0,77,6,82,2,C,3731$
3819,312,8,5,3,5,NA,,72,5,87,1,C,3887$
3820,307,5,4,1,3,YES,114,71,3,71,1,D,3068$
3821,336,5,5,3,5,NA,,81,4,97,6,C,3434$
3822,329,7,7,6,7,no,0,100,6,84,1,B,3999$
3823,294,9,5,3,5,yes,92,91,5,82,2,C,4413$
3824,309,9,6,3,5,NA,,76,6,94,1,B,4834$
3825,349,7,2,3,4,yes,106,99,4,60,5,C,3740$
3826,292,5,4,1,3,no,0,77,4,71,1,E,2717$
3827,354,7,5,3,4,YES,106,103,5,75,3,C,3821$
3828,359,7,7,6,8,no,0,71,5,74,2,B,3991$
3829,320,8,3,3,4,yes,115,82,3,65,3,C,3722$
3830,306,5,4,4,5,NA,,72,3,69,6,D,3803$
3831,322,6,7,6,7,no,0,79,7,95,5,B,4034$
3832,303,5,5,4,5,no,0,81,2,79,4,D,3730$
3833,356,9,4,3,4,no,0,73,5,78,6,C,4305$
3834,349,9,5,3,5,YES,117,104,4,94,4,B,4206$
3835,350,8,8,7,8,NO,0,108,6,85,1,A,4578$
3836,322,7,4,3,5,no,0,79,6,71,3,D,4006$
3837,301,5,5,4,6,no,0,85,7,95,2,D,4032$
3838,329,9,7,5,7,NO,0,90,6,96,1,B,4802$
3839,306,8,7,7,8,no,0,100,7,85,4,B,4463$
3840,324,9,5,5,6,yes,114,77,7,78,6,B,4468$
3841,296,5,6,5,7,NO,0,76,7,82,4,C,3999$
3842,347,8,6,4,5,YES,113,97,5,89,2,B,4532$
3843,327,5,4,3,5,no,0,70,6,60,4,D,3245$
3844,306,5,6,6,7,no,0,77,8,99,5,C,4495$
3845,313,9,4,1,3,yes,112,79,3,92,4,C,3922$
3846,325,9,6,4,5,YES,88,79,6,66,5,B,4295$
3847,353,5,2,3,4,YES,88,87,4,75,5,D,3645$
3848,292,5,2,3,4,YES,95,77,1,71,6,D,3101$
3849,304,6,3,3,5,yes,97,108,4,63,2,D,3922$
3850,302,5,3,2,3,YES,74,97,3,75,3,D,3223$
3851,341,7,3,2,4,NO,0,99,3,80,2,D,3612$
3852,355,5,2,2,3,NA,,88,1,59,5,D,3338$
3853,325,8,8,6,8,YES,105,79,8,61,5,A,5281$
3854,311,5,6,6,7,NA,,70,7,80,1,C,4250$
3855,341,6,2,3,4,NA,,96,1,87,2,D,3589$
